score,course_length
55.950445544144706,16
66.88829846859782,16
88.24004321299603,16
81.15636849302675,16
85.91668955535361,16
78.06604861513632,16
73.89841237517143,16
65.75687226872716,16
90.92913753719195,16
75.4501059812188,16
67.84871599332118,16
83.65223099717137,16
85.744409582779,16
93.9565477419858,16
68.97002696394905,16
71.09132179276862,16
70.83777968469808,16
71.24342577179608,16
71.33369054297641,16
72.04322547299114,16
89.4182041019987,16
68.02461708086959,16
71.1183249407864,16
81.52536452171518,16
86.24772446535128,16
73.52339549414334,18
86.4635941503464,18
75.66167259970412,18
97.72611184978503,18
79.8174028883699,18
88.5281499360053,18
82.05162903244026,18
49.91951401079519,18
66.33888068671017,18
75.75897739855188,18
82.36803663745557,18
56.5727687964104,18
89.61696633380711,18
73.9557426614556,18
72.47122720637087,18
64.44388408540013,18
65.46106261998942,18
80.5633183605441,18
85.09369406673892,18
59.021170402157004,18
69.95638020550666,18
85.35771722252592,18
75.46962915350082,18
101.65368501817264,18
92.45746672748106,18
69.27889196976072,17
71.91913783861713,17
82.23620590498017,17
87.1775422653797,17
74.48835411912022,17
62.700065526113896,17
94.09121032100882,17
91.35069572311625,17
69.89628854150119,17
76.34932426344416,17
59.40531264634069,17
82.69722971819101,17
93.12346798201784,17
60.62719352895284,17
69.20431486798253,17
70.58823066249437,17
70.18868606428845,17
56.66714404382051,17
82.00963559247907,17
61.68201860034257,17
76.75002360721737,17
82.92984721025293,17
75.01804578515359,17
85.92008392473527,17
76.74284929081847,17
91.95498034069595,19
86.04884449538189,19
88.7936078205526,19
78.94093874732374,19
92.28017152957251,19
100.80213960085703,19
96.83429910083284,19
77.8675574333591,19
69.81123150776412,19
84.9034430051176,19
90.40889370916977,19
99.50993979808598,19
72.81390515466437,19
89.64384592607448,19
88.33499835088519,19
97.93955261259052,19
85.72090027870422,19
82.42701145495747,19
74.53185863881633,19
80.82579516406378,19
82.37876227421728,19
109.50554325789105,19
110.46531375699958,19
84.33296720515723,19
75.56332560938112,19
